Country,City,AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value
Japan,Kainan,45,45,1,22
Japan,Kamiichi,42,42,1,19
Japan,Kaminoyama,36,36,1,12
United Republic of Tanzania,Morogoro,56,14,0,56
United Republic of Tanzania,Musoma,46,19,0,46
Democratic Republic of the Congo,Mwene Ditu,85,31,1,85
India,Nahan,427,106,1,379
Japan,Nakamura,48,48,0,28
Zambia,Nakonde,19,16,0,19
Belgium,Namur,35,30,3,35
Colombia,Natagaima,45,10,1,45
United States of America,New Brighton,46,32,9,46
United States of America,Newberry,65,26,4,65
Belgium,Nijlen,38,29,3,38
India,Nilokheri,500,46,1,500
Germany,Donzdorf,29,29,2,29
United Kingdom of Great Britain and Northern Ireland,Dorchester,35,31,1,35
United States of America,Easthampton,44,44,1,29
Austria,Eisenstadt,44,30,1,44
United States of America,Elk River,43,30,11,43
Central African Republic,Mobaye,79,9,0,79
Ghana,Sunyani,54,18,0,54
Hungary,Szigetszentmiklos,63,42,1,63
Brazil,Tambau,52,3,2,52
Pakistan,Tando Ghulam Ali,156,43,0,156
Brazil,Tapes,20,20,0,9
Germany,Viersen,53,27,6,53
Netherlands,Vlaardingen,54,36,5,54
Panama,Volcan,55,11,5,55
Germany,Waltrop,60,25,9,60
Democratic Republic of the Congo,Wamba,33,12,0,33
Somalia,Wanlaweyn,29,25,0,29
Algeria,Warqla,126,51,0,126
China,Huanren,55,55,0,53
Mexico,Huauchinango,183,4,10,183
United States of America,Huntsville,75,21,5,75
Brazil,Ibimirim,21,12,1,21
Nigeria,Ilawe,124,25,3,124
Russian Federation,Ostrogozhsk,33,33,0,18
Spain,Osuna,30,22,3,30
Brazil,Ouro Branco,63,3,6,63
Chile,Ovalle,49,8,6,49
Gabon,Oyem,40,23,0,40
India,Palasa,139,37,2,139
Mexico,Palenque,77,11,3,77
United States of America,Paradise,52,23,8,52
Brazil,Paraiba Do Sul,74,9,7,74
Brazil,Passos,68,4,3,68
Ukraine,Pavlohrad,39,39,0,10
,Perai,79,62,0,79
France,Pessac,54,38,1,54
Italy,Pianoro,33,33,3,20
United States of America,Pine Bluff,68,25,4,68
Poland,Piotrkow Trybunalski,78,27,4,78
Greece,Pirgos,47,40,0,47
Jamaica,Portmore,64,20,3,64
South Africa,Potgietersrus,59,15,3,59
Slovakia,Presov,76,35,2,76
Uzbekistan,Pskent,101,61,1,101
China,Puli,148,148,5,100
India,Pushkar,177,36,0,177
China,Qinggang,105,90,0,105
China,Qixingtai,131,131,2,68
Germany,Reichenbach,51,28,3,51
United States of America,Reno,28,25,5,28
Austria,Ried,61,39,1,61
Italy,Rivarolo Canavese,86,40,2,86
Czechia,Rychnov Nad Kneznou,64,23,3,64
France,Saint Remy De Provence,65,31,3,65
France,Sainte Suzanne,41,26,0,41
Austria,Salzburg,70,34,1,70
Mexico,San Buenaventura,58,19,1,58
Mexico,San Salvador El Seco,111,13,6,111
United States of America,San Sebastian,132,24,0,132
